zona,id_cont,calle,altura,capacidad,ruta,turno,lat,long,the_geom,cartodb_id,created_at,updated_at
1,S/N,ALVEAR AV.,1992,3200,RDCLM15,MAÑANA,-34.58715,-58.390051,0101000020E6100000D462F030ED314DC057EC2FBB274B41C0,2961,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00501,ALVAREZ THOMAS AV.,523,3200,,,-34.580672,-58.450243,0101000020E610000060200890A1394DC0F9D9C875534A41C0,496,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00382,"SALGUERO, JERONIMO",1969,3200,,,-34.587502,-58.413674,0101000020E61000004E9A0645F3344DC0D42AFA43334B41C0,2265,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 01040,CLAY,2836,3200,,,-34.573895,-58.431545,0101000020E61000004CE0D6DD3C374DC0412B3064754941C0,1101,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00453,SANTA FE AV.,4016,3200,,,-34.58225,-58.42035,0101000020E6100000D26F5F07CE354DC04A0C022B874A41C0,2311,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00317,ARAOZ,2689,3200,,,-34.584806,-58.413524,0101000020E6100000390EBC5AEE344DC096404AECDA4A41C0,599,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,CORRIENTES AV.,420,3200,RDCLN04,NOCHE,-34.603243,-58.372645,0101000020E61000004B02D4D4B22F4DC03D450E11374D41C0,3903,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,PASTEUR,411,3200,RDCLM19,MAÑANA,-34.604445,-58.399448,0101000020E6100000EF39B01C21334DC0889D29745E4D41C0,3323,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,JUNIN,1248,3200,RDCLM16,MAÑANA,-34.593818,-58.397067,0101000020E610000011A96917D3324DC058E36C3A024C41C0,3071,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,ZABALA,1784,3200,,,-34.564188,-58.443465,0101000020E6100000D8F50B76C3384DC0D865F84F374841C0,2640,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,MOLDES,1466,3200,,,-34.568794,-58.454509,0101000020E61000006C5ED5592D3A4DC09C14E63DCE4841C0,1979,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,MAURE,1725,3200,,,-34.567079,-58.436329,0101000020E6100000F0A5F0A0D9374DC0CB9F6F0B964841C0,1925,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,CORRIENTES AV.,5060,3200,,,-34.600483,-58.437212,0101000020E61000009AB51490F6374DC0E8667FA0DC4C41C0,1141,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,ANCON,5188,3200,,,-34.575514,-58.432169,0101000020E61000002AAC545051374DC0F0315871AA4941C0,585,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,CUBA,1730,3200,,,-34.564421,-58.451782,0101000020E6100000F37519FED3394DC07B1684F23E4841C0,1183,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,ARCE,555,3200,,,-34.56967,-58.432938,0101000020E61000000B992B836A374DC094C151F2EA4841C0,612,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,MONROE,2185,3200,,,-34.556948,-58.45778,0101000020E6100000A661F888983A4DC04BC972124A4741C0,2004,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00590,"LACROZE, FEDERICO AV.",3650,3200,,,-34.582294,-58.451982,0101000020E6100000BA30D28BDA394DC019541B9C884A41C0,1789,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,RIVADAVIA AV.,2796,3200,RDCLM12,MAÑANA,-34.610186,-58.40573,0101000020E6100000C780ECF5EE334DC0103D29931A4E41C0,2769,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00152,"SALGUERO, JERONIMO",1227,3200,,,-34.596205,-58.418605,0101000020E6100000967840D994354DC0185B0872504C41C0,2247,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,ESMERALDA,1123,3200,RDCLN06,NOCHE,-34.594557,-58.378471,0101000020E610000001BEDBBC71304DC0CF4D9B711A4C41C0,4083,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,CORRIENTES AV.,1594,3200,RDCLN09,NOCHE,-34.604288,-58.389238,0101000020E6100000232E008DD2314DC0C0AE264F594D41C0,4321,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00422,LAS HERAS AV.,3875,3200,,,-34.581667,-58.413658,0101000020E610000048DDCEBEF2344DC0CB147310744A41C0,1820,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,VIAMONTE,812,3200,RDCLN05,NOCHE,-34.600117,-58.378384,0101000020E610000032AA0CE36E304DC0066344A2D04C41C0,4059,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,BELGRANO AV.,148,3200,RDCLN01,NOCHE,-34.61234,-58.368393,0101000020E6100000A4897780272F4DC02E043928614E41C0,3652,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00258,PARAGUAY,3972,3200,,,-34.588674,-58.419142,0101000020E6100000A530EF71A6354DC0B4006DAB594B41C0,2148,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,VUELTA DE OBLIGADO,1973,3200,,,-34.56257,-58.454661,0101000020E610000022E2E654323A4DC0F9DA334B024841C0,2627,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,"SAENZ PEÐA, ROQUE, PRES. AV.",881,3200,RDCLN04,NOCHE,-34.605085,-58.378834,0101000020E6100000724EECA17D304DC06C26DF6C734D41C0,359,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 01037,"CHENAUT, INDALESIO, GRAL.",1960,3200,,,-34.572151,-58.432747,0101000020E61000009738F24064374DC0D5AF743E3C4941C0,1060,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,PASO,693,3200,RDCLM19,MAÑANA,-34.601105,-58.403412,0101000020E610000030682101A3334DC0253B3602F14C41C0,3322,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00233,GASCON,1739,3200,,,-34.58987,-58.42226,0101000020E610000059349D9D0C364DC01D7233DC804B41C0,1478,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,GUATEMALA,5884,3200,,,-34.578141,-58.43481,0101000020E6100000A4FCA4DAA7374DC006BD3786004A41C0,1543,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,AYACUCHO,331,3200,RDCLM20,MAÑANA,-34.605477,-58.395141,0101000020E61000008527F4FA93324DC077BD3445804D41C0,3367,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,DEL LIBERTADOR AV.,4444,3200,,,-34.567202,-58.430956,0101000020E6100000EB01F39029374DC0E71C3C139A4841C0,1229,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,PASEO COLON AV.,333,3200,RDCLN01,NOCHE,-34.611724,-58.369807,0101000020E61000007B6AF5D5552F4DC0D316D7F84C4E41C0,3715,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00900,SOLER,4853,3200,,,-34.585643,-58.426488,0101000020E61000007711A62897364DC0CF108E59F64A41C0,2485,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00260,PARAGUAY,4092,3200,,,-34.58804,-58.419941,0101000020E6100000F19F6EA0C0354DC0B35E0CE5444B41C0,2150,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,PASTEUR,125,3200,RDCLM21,MAÑANA,-34.608153,-58.399183,0101000020E6100000410FB56D18334DC06EFB1EF5D74D41C0,3483,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,B.Irigoyen,1038,3200,RDCLN24,NOCHE,-34.620291,-58.380061,0101000020E610000016BEBED6A5304DC067800BB2654F41C0,4650,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,"MADERO, EDUARDO AV.",650,3200,RDCLN01,NOCHE,-34.5999,-58.368854,0101000020E6100000D87F9D9B362F4DC0696FF085C94C41C0,3666,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,CORRIENTES AV.,632,3200,RDCLN04,NOCHE,-34.603424,-58.375656,0101000020E6100000E945ED7E15304DC08DCF64FF3C4D41C0,3911,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,LA PAMPA,1730,3200,,,-34.561303,-58.448126,0101000020E6100000603E59315C394DC0C712D6C6D84741C0,1726,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,SAN JUAN,350,3200,RDCLN24,NOCHE,-34.621893,-58.370727,0101000020E6100000425F7AFB732F4DC0404E98309A4F41C0,4722,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,CORDOBA AV.,1735,3200,RDCLN10,NOCHE,-34.599505,-58.39201,0101000020E61000003CDA38622D324DC0ED647094BC4C41C0,4387,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,CORDOBA AV.,4663,3200,,,-34.593809,-58.430647,0101000020E61000006D8FDE701F374DC00589EDEE014C41C0,1116,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,"RAVIGNANI, EMILIO, DR.",2079,3200,,,-34.578769,-58.435889,0101000020E6100000D4D7F335CB374DC02578431A154A41C0,2206,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,PIEDRAS,200,3200,RDCLN02,NOCHE,-34.610435,-58.377669,0101000020E610000044DB317557304DC0B9AAECBB224E41C0,3781,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00949,GODOY CRUZ,2539,3200,,,-34.58039,-58.426698,0101000020E610000062A2410A9E364DC0757632384A4A41C0,1487,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,VIAMONTE,748,3200,RDCLN05,NOCHE,-34.600047,-58.377471,0101000020E61000001E1840F850304DC00E881057CE4C41C0,4057,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00608,CABELLO,3174,3200,,,-34.582145,-58.40637,0101000020E6100000AB09A2EE03344DC0D44334BA834A41C0,786,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
